"site","year","conc.1hr","conc.ann"
"010710020",2004,35,3.44
"010730023",2014,40.9,9.25
"010730023",2015,40.1,9.29
"010730023",2016,41,9.49
"010730023",2017,38,8.97
"010730023",2018,37.5,8.19
"010730023",2019,44.9,9.75
"010730023",2020,36.6,8.23
"010730023",2021,38.1,8.45
"010730023",2022,40.4,8.59
"010732059",2014,51.2,13.99
"010732059",2015,49.8,13.1
"010732059",2016,52.8,13.69
"010732059",2017,43.2,11.46
"010732059",2018,44.8,11.09
"010732059",2019,49.9,12.23
"010732059",2020,43.7,10.68
"010732059",2021,42,10.21
"010732059",2022,36.1,8.49
"010890014",1980,135,23.59
"010890014",1991,59,13.99
"010890014",1992,62,13.07
"010890014",1993,53,12.88
"011170004",1994,48,12.78
"011170004",1995,42,11.53
"020900034",2015,68.1,12.67
"020900034",2016,54.9,13.42
"020900034",2017,55.2,12.57
"020900034",2018,53.8,11.62
"021221004",1989,41,3.77
"022610004",1980,24,4.16
"022610004",1981,57,7.67
"040010007",1982,22,2.86
"040010007",1984,11,1.63
"040010008",1982,9,1.96
"040010008",1983,10,1.63
"040010008",1984,10,1.04
"040128000",2015,4.8,1.36
"040130019",1995,88,28.52
"040130019",1996,92,28.65
"040130019",1997,84,27.96
"040130019",1998,87,28.19
"040130019",1999,96,31
"040130019",2000,109,28.86
"040130019",2001,69,25.64
"040130019",2004,69,23.89
"040130019",2005,67,23.53
"040130019",2006,72,23.88
"040130019",2007,65,20.89
"040130019",2008,60,18.51
"040130019",2009,55,16.9
"040130019",2010,55,17.72
"040130019",2011,55,17.95
"040130019",2012,58,19.39
"040130019",2013,56,17.97
"040130019",2014,57,17.97
"040130019",2015,55,16.39
"040130019",2016,54,16.24
"040130019",2017,56,16.99
"040130019",2018,52,16.12
"040130019",2019,47,14.07
"040130019",2020,48,13.36
"040130019",2021,47,14.66
"040130019",2022,47,13.99
"040133002",1983,120,17.19
"040133002",1984,110,24.29
"040133002",1991,45,16.11
"040133002",1995,89,32.61
"040133002",1996,90,31.57
"040133002",1997,79,32.02
"040133002",1998,88,29.97
"040133002",1999,123,33.52
"040133002",2000,92,29.14
"040133002",2001,77,28.65
"040133002",2002,81,29.36
"040133002",2003,78,29.29
"040133002",2004,69,24.75
"040133002",2005,69,26.22
"040133002",2006,71,25.09
"040133002",2007,71,23.7
"040133002",2008,67,21.52
"040133002",2009,66,20.9
"040133002",2010,59,18.82
"040133002",2011,60,19.82
"040133002",2012,63,21.16
"040133002",2013,60,19.71
"040133002",2014,60,19.44
"040133002",2015,59,17.85
"040133002",2016,59,17.34
"040133002",2017,62,18.24
"040133002",2018,56,17.53
"040133002",2019,52,15.71
"040133002",2020,54,15.93
"040133002",2021,54,15.44
"040133002",2022,51,14.91
"040133003",1985,60,14.91
"040133003",1995,78,25.69
"040133003",1996,80,24.72
"040133003",1998,73,24.04
"040133003",1999,172,30.85
"040133003",2000,225,30.11
"040133003",2001,69,21.51
"040133003",2002,64,23.52
"040133003",2004,62,19.48
"040133003",2005,62,19.67
"040133003",2006,60,19.28
"040133003",2007,59,16.18
"040133003",2008,57,14.61
"040133003",2009,52,13.86
"040133003",2010,53,13.92
